data_document_id,data_document_filename,doc_date,raw_category,raw_cas,raw_chem_name,cat_code,description_cpcat,cpcat_code,cpcat_sourcetype
1373308,2005 Upland Cotton.pdf,May 2006,,,Zeta-cypermethrin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Azoxystrobin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Etridiazole,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Mefenoxam,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,PCNB,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Bacillus cereus,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Cyclanilide,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Dimethipin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Endothall,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Ethephon,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Gibberellic acid,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Indolebutyric acid,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Kinetin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Mepiquat chloride,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Mepiquat pentaborate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Monocarbamide dihyd.,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Paraquat,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Sodium chlorate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Thidiazuron,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Tribufos,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,"2,4-D, 2-EHE",,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,"2,4-D, BEE",,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,"2,4-D, dimeth. salt",,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Atrazine,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Chlorimuron-ethyl,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Clethodim,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Cloransulam-methyl,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,"Dicamba, Digly Salt",,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Fenoxaprop,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Fluazifop-P-butyl,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Flumiclorac-pentyl,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Flumioxazin,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Fomesafen,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Glyphosate,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Glyphosate iso. salt,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Imazamox,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Imazaquin,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Imazethapyr,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Lactofen,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Metribuzin,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Paraquat,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Pendimethalin,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Quizalofop-P-ethyl,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,S-Metolachlor,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Sulfentrazone,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Sulfosate,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Thifensulfuron,,,,ACToR Assays and Lists
1373309,2005 Soybeans.pdf,May 2006,,,Trifluralin,,,,ACToR Assays and Lists
