ExtractedComposition_id,lower_wf_analysis,central_wf_analysis,upper_wf_analysis
5595995,,6.6e-06,
5651175,,5.04e-05,
5640139,,0.1416661,
5629203,,2.08e-05,
5601580,,0.0,
5656760,,9.5e-06,
5623652,,0.0002282,
5612616,,0.0001677,
5590544,,0.0003199,
5645724,,1.4e-06,
5634688,,1.86e-05,
5607287,,9.8e-05,
5662467,,3.8e-05,
5618323,,2.96e-05,
5596251,,0.000317,
5651431,,0.0026099,
5640395,,0.0,
5586878,,2.2e-06,
5629114,,3.6e-06,
5601491,,3.1e-06,
5656671,,0.8819634,
5623563,,0.0001729,
5612527,,3.27e-05,
5590455,,1e-07,
5645635,,3.9e-05,
5634599,,4.35e-05,
5607198,,9.2e-06,
5662378,,4.7e-06,
5618234,,6.8e-06,
5596162,,0.6804,
5651342,,0.0031563,
5640306,,2.11e-05,
5629370,,0.0002452,
5586789,,2.1e-06,
5587045,,0.0001079,
5601402,,0.0005512,
5656582,,0.0,
5623474,,7.87e-05,
5612438,,0.001294,
5590366,,3.6e-05,
5645546,,0.0002341,
5634510,,0.001854,
5607109,,1.8e-06,
5662289,,4e-07,
5618145,,1e-07,
5596073,,2.7e-06,
5651253,,0.2306293,
5640217,,8.8e-06,
5629281,,1.35e-05,
5601658,,6e-07,
5656838,,1e-06,
5623730,,1e-07,
5612694,,0.0001599,
5590622,,0.0002207,
5645802,,1e-07,
5634766,,0.0004072,
5607365,,3.7e-06,
5662545,,2.09e-05,
5618401,,1e-07,
5596329,,0.000659,
5651509,,1.9e-06,
5640473,,0.0003426,
5586956,,0.0005215,
5607020,,3.5e-05,
5662200,,5.01e-05,
5618056,,0.000111,
5595984,,7.29e-05,
5651164,,2e-07,
5640128,,4.7e-06,
5629192,,8.51e-05,
5601569,,1e-06,
5656749,,3.97e-05,
5623641,,4e-07,
5612605,,1.3e-06,
5590533,,8e-07,
5645713,,6.5e-06,
5634677,,1e-07,
5607276,,0.0004039,
5662456,,0.0,
5618312,,0.0,
5596240,,2.4e-05,
5651420,,1.5e-06,
5640384,,0.0002215,
5586867,,0.0001452,
5629103,,0.0019951,
5601480,,3.07e-05,
5656660,,1e-07,
5623552,,0.0,
5612516,,0.1459646,
5590444,,1.1e-06,
5645624,,0.0002342,
5634588,,9.8e-06,
5607187,,8.73e-05,
5662367,,0.0002892,
5618223,,2.73e-05,
5596151,,7.37e-05,
5651331,,1.7e-06,
5640295,,1e-06,
5629359,,2.1e-06,
5586778,,0.000155,
5587034,,1.6e-06,
5601391,,0.0,
5656571,,3.4e-06,
5623463,,2.1e-06,
5612427,,1e-06,
5590355,,0.0004766,
5645535,,1e-07,
5634499,,0.0001162,
5607098,,1.19e-05,
5662278,,3.4e-06,
5618134,,4.4e-06,
5596062,,6.1e-05,
